epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
124,495900,3.598830,3.612289,-42.171086,41.8776,41.8776,40.2068,40.1465,0.6501,0.3064,758.05,1001.0,2,1,496000,316.8,0.688895,0.555139,0.117807
125,499900,,,,,,,,,,696.82,658.0,4,1,500000,317.1,,,
126,503900,3.294870,3.244596,-42.517456,42.2394,42.2389,38.8322,38.0142,0.6493,0.3013,905.29,1001.0,9,1,504000,320.2,0.686661,0.553194,0.117192
127,507900,3.846830,3.802416,-42.864918,42.6386,42.6392,46.0032,45.8548,0.6878,0.3156,773.71,805.6,9,2,508000,323.3,0.697591,0.561571,0.119628
128,511900,3.771517,3.757515,-43.311522,42.9852,42.9846,42.7117,42.1872,0.6605,0.3056,935.75,984.8,11,5,512000,326.4,0.694335,0.558822,0.118772
129,515900,3.877005,3.863738,-43.681801,43.4186,43.4190,44.2607,43.5753,0.7003,0.3182,812.10,788.3,17,5,516000,329.5,0.699434,0.562485,0.119900
130,519900,,,,,,,,,,792.76,712.2,9,3,520000,329.8,,,
131,523900,3.895470,3.898387,-44.130946,43.8437,43.8441,44.2446,43.6187,0.7027,0.3328,610.60,661.4,11,6,524000,338.8,0.694899,0.559045,0.118870
132,527900,3.840931,3.819152,-44.751219,44.3807,44.3804,46.0490,44.0288,0.7319,0.3353,748.80,798.0,9,5,528000,341.9,0.710141,0.570375,0.122114
133,531900,4.103139,4.114552,-45.133238,44.8295,44.8298,49.5998,49.0574,0.7026,0.3224,447.35,454.4,5,1,532000,344.9,0.716850,0.575133,0.123589
134,535900,4.451761,4.469739,-45.631697,45.2919,45.2926,50.0083,49.5108,0.7254,0.3461,489.64,429.2,9,4,536000,348.0,0.724196,0.580435,0.125166
135,539900,,,,,,,,,,642.01,445.5,4,0,540000,348.3,,,
136,543900,4.411265,4.409684,-46.136505,45.7339,45.7335,48.9573,47.9917,0.7789,0.3596,872.20,1001.0,1,0,544000,351.4,0.716843,0.574963,0.123583
137,547900,4.629562,4.654979,-46.555892,46.2587,46.2590,49.5265,49.0721,0.7495,0.3542,718.99,484.6,8,2,548000,354.5,0.721156,0.578249,0.124479
