epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
94,375900,29742.145146,-5645.145519,5638.6227,158936.7286,6.7420,0.7742,,,0,0,376000,190.3
95,379900,,,,,,,,,0,0,380000,190.9
96,383900,30284.984640,-5707.139632,5700.2481,164667.4941,7.0107,0.8226,,,0,0,384000,193.3
97,387900,27508.382444,-5761.183877,5753.9705,163469.1343,7.3444,0.8354,,,0,0,388000,195.6
98,391900,30072.262809,-5810.407543,5803.4830,164635.9718,7.7063,0.8562,,,0,0,392000,198.0
99,395900,30506.341661,-5857.733936,5850.5566,152454.8631,7.0953,0.9215,,,0,0,396000,200.4
100,399900,,,,,,,,,0,0,400000,200.9
1,3900,,,,,,,,,0,0,4000,2.1
2,7900,,,,,,,,,0,0,8000,5.2
1,3999,,,,,,,38091.19,1000.7,3,0,4000,2.0
1,3900,,,,,,,,,,,,0,0,4000,0.4
2,7900,,,,,,,,,,,,0,0,8000,0.9
3,11900,1558.543049,1575.464077,-39.854388,38.2870,37.8723,2997.9302,3049.8562,0.1221,0.0196,,,0,0,12000,1.7
4,15900,564.460958,583.235803,-73.205827,72.8636,72.8148,1185.7657,1234.9685,0.2004,0.0129,,,0,0,16000,2.5
5,19900,,,,,,,,,,,,0,0,20000,3.1
6,23900,322.634914,328.813825,-88.109419,87.7972,87.6814,1509.5823,1366.0751,0.0013,0.0131,,,0,0,24000,3.9
7,27900,197.834875,199.439450,-94.969868,94.2215,94.0730,752.3275,719.9527,0.0005,0.0411,,,0,0,28000,4.7
8,31900,146.870710,145.897191,-100.600810,99.9240,99.8878,596.5003,588.1480,0.0004,0.0005,,,0,0,32000,5.6
9,35900,118.831807,117.381217,-106.042525,105.2482,105.2239,662.3602,672.0924,0.0006,0.0336,,,0,0,36000,6.4
10,39900,,,,,,,,,,,,0,0,40000,7.1
11,43900,101.843789,99.832977,-112.172201,111.2846,111.2817,676.6231,672.0754,0.3096,0.0471,,,0,0,44000,7.9
12,47900,89.907219,87.962190,-117.739213,116.9935,117.0024,761.6615,900.3992,0.0004,0.1446,,,0,0,48000,8.8
13,51900,80.613417,78.850049,-123.801440,123.2221,123.2204,926.7082,1060.2787,0.0004,0.0012,,,0,0,52000,9.6
14,55900,73.599456,72.149522,-130.421494,129.3737,129.3865,1177.8933,1242.4588,0.0003,0.0000,,,0,0,56000,10.5
15,59900,,,,,,,,,,,,0,0,60000,11.2
16,63900,69.142095,67.398658,-136.784164,135.5086,135.4959,1186.1533,1233.9583,0.0002,0.0000,,,0,0,64000,12.0
17,67900,64.960955,63.083900,-143.130667,141.9710,141.9783,907.7336,893.8411,0.0002,0.2279,,,0,0,68000,12.9
18,71900,60.577123,58.960364,-149.793493,148.5986,148.6014,1144.2987,1027.2636,0.0001,0.2221,,,0,0,72000,13.7
19,75900,56.703193,54.677313,-156.311115,155.0256,155.0218,1529.6600,1329.7547,0.0001,0.0005,,,0,0,76000,14.6
20,79900,,,,,,,,,,,,0,0,80000,15.2
21,83900,53.731987,52.308992,-162.525323,161.4951,161.4979,1328.9316,1451.4816,0.0002,0.3202,,,0,0,84000,16.1
22,87900,50.051113,48.866200,-169.072120,168.3360,168.3256,1263.9728,1268.6604,0.0001,0.0000,,,0,0,88000,17.0
23,91900,49.346536,47.689310,-176.403886,175.1831,175.1933,2294.2624,2071.4196,0.0001,0.0000,,,0,0,92000,17.8
24,95900,46.727335,46.064476,-182.852900,181.8776,181.8756,1654.9781,1587.0063,0.0001,0.0000,,,0,0,96000,18.7
