epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
99,395900,276.151265,281.318488,-117.756282,116.2696,116.2805,2382.0985,2717.6742,4.8735,0.3046,283.28,56.0,74,32,396000,200.0,0.653414,0.556508,0.048453
100,399900,,,,,,,,,,277.53,54.8,72,41,400000,200.5,,,
101,403900,274.648372,279.299299,-117.862834,116.4441,116.4461,2388.0380,2750.9578,4.6006,0.2965,299.04,59.3,67,29,404000,203.0,0.663715,0.565733,0.048991
102,407900,275.270147,278.919613,-118.210876,116.6632,116.6691,2397.0889,2756.6537,4.5682,0.3100,289.09,57.4,65,30,408000,205.5,0.677234,0.578145,0.049544
103,411900,279.953087,282.944204,-118.273838,116.8813,116.8855,2356.2444,2782.3710,4.1840,0.3261,275.88,55.0,77,31,412000,207.9,0.671337,0.571923,0.049707
104,415900,277.218979,280.800668,-118.758598,117.3429,117.3444,2487.3158,2816.3638,4.2729,0.3427,265.48,53.1,81,41,416000,210.3,0.654256,0.558119,0.048069
105,419900,,,,,,,,,,268.32,53.4,76,39,420000,210.9,,,
106,423900,277.781270,283.156943,-118.927191,117.4208,117.4205,2425.6732,2872.4375,3.9650,0.3326,268.94,53.5,70,44,424000,213.3,0.656378,0.559609,0.048385
107,427900,279.078406,284.195365,-119.095451,117.6831,117.6839,2485.5313,3035.3673,3.9419,0.3390,267.76,53.2,76,37,428000,215.7,0.668643,0.569957,0.049343
108,431900,282.825137,285.982876,-119.324313,117.8904,117.8994,2602.6919,3140.0293,4.0435,0.3443,267.90,53.2,74,32,432000,218.2,0.637405,0.544632,0.046387
109,435900,279.128452,285.709200,-119.508533,118.1406,118.1415,2562.1521,3246.8476,3.9410,0.3461,270.75,53.8,76,37,436000,220.6,0.653183,0.557047,0.048068
110,439900,,,,,,,,,,271.53,54.2,74,38,440000,221.1,,,
111,443900,273.156379,283.573465,-119.772707,118.3878,118.3990,2561.5926,3226.7787,4.1165,0.3673,267.01,53.4,74,43,444000,223.6,0.658167,0.561864,0.048152
112,447900,280.646074,281.683746,-119.834035,118.5120,118.5201,2678.9944,3483.5342,4.2900,0.3754,265.21,52.6,80,36,448000,226.0,0.648131,0.553601,0.047265
113,451900,282.805651,285.349624,-120.112593,118.6626,118.6648,2702.0572,3320.3681,4.3444,0.3924,270.43,53.4,73,38,452000,228.4,0.652057,0.556327,0.047865
