epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
91,363900,4.991312,4.655577,-44.037926,43.6284,43.6267,46.3741,85.0647,1.5550,0.4209,1000.00,1001.0,12,6,364000,122.3,0.538013,0.473129,0.032442
92,367900,5.273446,4.906779,-44.483115,44.0873,44.0868,46.1854,82.9384,1.5121,0.3746,1000.00,1001.0,14,6,368000,124.0,0.527290,0.464105,0.031593
93,371900,5.464816,5.104425,-44.935650,44.5352,44.5341,47.7408,85.0759,1.5755,0.4131,1000.00,1001.0,14,5,372000,125.7,0.531368,0.466679,0.032344
94,375900,5.294962,4.977007,-45.326295,44.9653,44.9644,48.0903,88.4360,1.4090,0.3996,1000.00,1001.0,1,0,376000,127.5,0.533012,0.468777,0.032117
95,379900,,,,,,,,,,1000.00,1001.0,2,0,380000,127.6,,,
96,383900,5.348683,4.978813,-45.827726,45.4069,45.4064,48.4007,88.3351,1.4205,0.4368,,,0,0,384000,129.3,0.535968,0.472015,0.031976
97,387900,5.306278,4.921857,-46.212269,45.8337,45.8327,49.5923,91.0289,1.5266,0.4196,,,0,0,388000,130.9,0.536779,0.471435,0.032672
98,391900,5.394826,4.995889,-46.551875,46.1880,46.1870,51.5899,94.4987,1.4030,0.3789,1000.00,1001.0,1,1,392000,132.7,0.546285,0.480439,0.032923
99,395900,5.253557,4.862500,-46.948153,46.5221,46.5206,50.4444,92.8148,1.3549,0.3477,,,0,0,396000,134.4,0.527844,0.464374,0.031735
100,399900,,,,,,,,,,,,0,0,400000,134.5,,,
101,403900,5.170696,4.752206,-47.341720,46.9672,46.9671,51.4202,93.7396,1.5217,0.3868,1000.00,1001.0,4,2,404000,136.2,0.535524,0.470318,0.032603
102,407900,5.380157,4.996595,-47.862676,47.4333,47.4316,49.3505,91.7956,1.4286,0.3724,1000.00,1001.0,5,2,408000,137.9,0.521350,0.458423,0.031464
103,411900,5.241254,4.849052,-48.246292,47.8300,47.8302,51.0031,95.9062,1.4874,0.3606,1000.00,1001.0,4,1,412000,139.6,0.535909,0.471855,0.032027
104,415900,5.309912,4.889412,-48.605300,48.2190,48.2177,51.6342,96.8624,1.4820,0.4212,,,0,0,416000,141.2,0.527339,0.463327,0.032006
105,419900,,,,,,,,,,,,0,0,420000,141.3,,,
106,423900,5.457126,5.034747,-49.064910,48.5968,48.5962,53.1229,100.0471,1.5305,0.3721,,,0,0,424000,143.0,0.532472,0.467823,0.032324
107,427900,5.206677,4.807793,-49.478640,49.0277,49.0276,50.3119,95.8153,1.4999,0.3795,1000.00,1001.0,1,1,428000,144.7,0.539229,0.475236,0.031997
108,431900,5.111576,4.717932,-49.877176,49.4381,49.4362,51.8336,99.3480,1.4898,0.3579,1000.00,1001.0,3,2,432000,146.4,0.518798,0.456362,0.031218
109,435900,5.209963,4.770487,-50.267072,49.8336,49.8338,53.9385,102.5291,1.6375,0.3378,,,0,0,436000,148.1,0.511464,0.448528,0.031468
110,439900,,,,,,,,,,763.29,764.7,7,0,440000,148.2,,,
111,443900,5.171936,4.710830,-50.567936,50.1610,50.1597,52.5852,100.9360,1.6619,0.3603,868.43,869.9,7,1,444000,150.0,0.525075,0.461611,0.031732
112,447900,5.301303,4.836133,-50.968671,50.5223,50.5226,52.4110,99.9880,1.6273,0.3960,816.89,818.8,27,2,448000,151.8,0.523367,0.458818,0.032274
113,451900,5.326114,4.836277,-51.280697,50.8499,50.8485,54.7918,104.0620,1.6294,0.3316,800.38,802.1,8,2,452000,153.5,0.528961,0.463674,0.032644
114,455900,5.453055,4.975283,-51.620797,51.1558,51.1549,53.6727,104.2374,1.7138,0.3649,980.00,981.1,7,6,456000,155.3,0.516726,0.452067,0.032330
115,459900,,,,,,,,,,925.58,926.8,12,9,460000,155.4,,,
116,463900,5.544409,5.058145,-51.987038,51.5430,51.5425,57.8530,112.4013,1.6400,0.3852,1000.00,1001.0,6,6,464000,157.1,0.522797,0.458168,0.032315
117,467900,5.209420,4.792323,-52.342426,51.8977,51.8976,55.7488,108.5954,1.5169,0.3500,1000.00,1001.0,7,7,468000,158.9,0.528401,0.464494,0.031953
118,471900,5.486452,5.033594,-52.755769,52.3122,52.3110,57.8832,111.0810,1.5899,0.3653,1000.00,1001.0,7,6,472000,160.6,0.531955,0.465865,0.033045
119,475900,5.441467,4.953132,-53.159470,52.6748,52.6743,58.0845,111.0848,1.6744,0.3626,,,0,0,476000,162.2,0.525952,0.461121,0.032416
120,479900,,,,,,,,,,1000.00,1001.0,2,2,480000,162.3,,,
121,483900,5.464425,4.992160,-53.493980,53.0510,53.0496,55.9772,111.5253,1.6813,0.3493,,,0,0,484000,164.0,0.555042,0.486663,0.034189
122,487900,5.439954,4.982921,-53.918707,53.4791,53.4787,56.3492,112.0878,1.5623,0.3289,,,0,0,488000,165.7,0.519231,0.455483,0.031874
123,491900,5.546767,5.028661,-54.143767,53.7532,53.7527,60.0404,117.2969,1.8161,0.3460,,,0,0,492000,167.4,0.509729,0.446991,0.031369
124,495900,5.384857,4.905910,-54.469511,54.0688,54.0683,56.8939,112.5275,1.7080,0.3154,,,0,0,496000,169.0,0.517800,0.452640,0.032580
125,499900,,,,,,,,,,,,0,0,500000,169.1,,,
126,503900,5.447595,4.926735,-54.763458,54.3867,54.3851,59.5594,117.8482,1.7853,0.3351,1000.00,1001.0,2,2,504000,170.8,0.507340,0.443197,0.032072
127,507900,5.493537,5.028638,-55.114145,54.7036,54.7032,58.0224,116.5712,1.7695,0.3390,1000.00,1001.0,4,4,508000,172.6,0.536502,0.469247,0.033628
128,511900,5.413462,4.919403,-55.350328,54.9329,54.9324,58.4628,116.0361,1.7621,0.3552,1000.00,1001.0,2,2,512000,174.3,0.528510,0.463349,0.032581
129,515900,5.459466,4.959692,-55.741424,55.2627,55.2627,62.3325,120.5930,1.8111,0.3379,,,0,0,516000,176.0,0.513533,0.448492,0.032521
130,519900,,,,,,,,,,,,0,0,520000,176.1,,,
131,523900,5.563738,5.026601,-56.020867,55.5846,55.5833,59.5906,120.2953,1.5614,0.3503,,,0,0,524000,177.8,0.528936,0.464165,0.032386
132,527900,5.242290,4.725287,-56.356361,55.9290,55.9281,60.5113,118.7717,1.7344,0.3435,1000.00,1001.0,1,1,528000,179.5,0.500576,0.436544,0.032016
133,531900,5.489602,4.992399,-56.711557,56.2428,56.2420,60.6778,122.4668,1.7643,0.3662,1000.00,1001.0,2,1,532000,181.2,0.500547,0.440054,0.030247
134,535900,5.243252,4.723349,-56.939258,56.5773,56.5771,62.2905,125.8703,1.6890,0.3738,,,0,0,536000,182.9,0.496446,0.435074,0.030686
