epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
184,735900,371.717964,380.320147,-153.853753,152.0157,152.0117,9342.2786,7031.5212,2.9489,0.3959,313.33,62.9,72,35,736000,840.6
185,739900,,,,,,,,,,278.15,56.1,64,33,740000,841.5
186,743900,370.722388,380.578264,-153.736403,151.9617,151.9741,9070.0087,7686.7203,2.9910,0.4173,271.95,54.9,78,43,744000,848.6
187,747900,379.654045,386.337217,-153.930326,152.1069,152.0964,8407.7521,7488.4150,3.3249,0.4014,233.58,48.1,84,43,748000,855.1
188,751900,378.012536,389.629154,-153.964284,152.1782,152.1770,9151.1641,6891.1569,3.3986,0.3807,238.94,48.9,87,47,752000,861.4
189,755900,377.527013,381.151058,-154.148563,152.4107,152.4064,9363.8242,8033.1147,3.4395,0.3700,237.54,48.9,84,43,756000,867.9
190,759900,,,,,,,,,,252.87,51.6,70,38,760000,868.8
191,763900,377.776067,385.986313,-154.250751,152.5912,152.5960,9603.2797,7334.0476,3.4739,0.3668,269.65,54.4,68,33,764000,875.5
192,767900,380.226059,383.913646,-154.426034,152.7644,152.7641,9279.1933,7494.2328,3.3701,0.3925,294.99,59.2,66,32,768000,882.5
193,771900,375.834405,381.873719,-154.545035,152.7344,152.7303,8854.3166,7508.6155,3.5760,0.4559,298.91,60.1,70,35,772000,888.9
194,775900,379.037214,389.517194,-154.351147,152.7448,152.7387,9990.0720,7923.8809,3.2835,0.4574,290.73,58.3,62,29,776000,895.1
195,779900,,,,,,,,,,310.38,62.4,68,35,780000,895.8
196,783900,375.544540,386.918675,-154.383792,152.6016,152.5959,9203.4927,7659.3197,3.8767,0.3671,282.58,56.9,64,32,784000,902.3
197,787900,378.444267,387.474508,-154.319021,152.5680,152.5661,9089.6592,8114.5320,3.9800,0.3705,281.52,55.7,84,44,788000,908.5
198,791900,378.948663,387.066077,-154.610209,152.7591,152.7646,9397.9765,7285.4265,3.8914,0.3854,296.26,59.4,55,25,792000,914.5
199,795900,374.373532,384.092718,-154.474592,152.7375,152.7405,9260.6754,8286.8968,3.4802,0.3764,322.10,64.3,67,25,796000,920.7
200,799900,,,,,,,,,,284.46,56.5,77,39,800000,921.4
201,803900,370.089626,378.682398,-154.433675,152.7195,152.7176,9776.7131,7371.5404,4.1104,0.4058,293.41,58.4,66,35,804000,927.7
202,807900,371.329629,378.091045,-154.604813,152.8187,152.8235,9336.5860,7571.3633,3.8688,0.4377,309.00,61.7,63,29,808000,934.0
203,811900,379.655118,389.021260,-154.344630,152.6652,152.6618,9313.8101,8167.2801,4.0930,0.3857,301.88,60.6,63,28,812000,940.2
204,815900,378.953201,383.110026,-154.452315,152.8120,152.8170,9781.1540,7875.2008,3.7619,0.3847,288.82,58.0,80,35,816000,946.6
205,819900,,,,,,,,,,288.42,57.6,63,30,820000,947.4
206,823900,371.051984,382.727828,-154.743488,152.9967,152.9852,9505.9020,7877.7900,4.3305,0.3798,296.53,59.0,62,35,824000,953.7
207,827900,377.675557,383.164068,-154.656490,152.9798,152.9717,9113.3906,8030.4711,3.5027,0.3336,314.44,62.6,70,37,828000,960.0
208,831900,378.501051,383.540193,-154.677792,153.0102,153.0206,9535.9682,7763.0377,3.6547,0.3356,289.63,57.9,76,43,832000,966.2
209,835900,372.138925,380.808828,-154.745704,153.0318,153.0368,9522.5148,7771.9425,3.4875,0.3717,278.76,55.8,64,36,836000,972.7
210,839900,,,,,,,,,,273.42,54.8,77,42,840000,973.6
211,843900,375.423324,380.631820,-154.680858,153.1840,153.1855,8911.1860,7725.6951,4.0191,0.3786,285.53,57.5,68,35,844000,980.7
212,847900,377.428453,382.946737,-154.929672,153.2520,153.2536,9236.8520,7244.3344,3.9422,0.4567,299.51,60.1,60,34,848000,987.1
213,851900,375.050791,382.567820,-155.077345,153.4803,153.4754,9220.8130,7671.8555,4.2750,0.4241,308.17,61.6,65,21,852000,993.2
214,855900,368.662258,377.033391,-155.372583,153.5813,153.5860,9845.4444,7542.0439,4.4045,0.4383,310.07,62.0,65,38,856000,998.9
215,859900,,,,,,,,,,302.30,60.1,74,41,860000,999.6
