epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
124,495900,9.907014,9.640499,-71.086553,70.0370,70.0375,143.9343,146.2694,4.3432,0.5028,,,0,0,496000,149.1
125,499900,,,,,,,,,,,,0,0,500000,149.2
126,503900,9.369930,9.131772,-72.267574,71.2788,71.2784,143.7030,147.7922,5.7416,0.5763,3049.08,1001.0,100,52,504000,150.7
127,507900,14.199582,14.019693,-73.506404,72.6004,72.5995,185.9194,195.0640,5.4865,0.5878,,,0,0,508000,152.2
128,511900,14.783585,14.546482,-75.210738,74.2749,74.2751,185.4430,190.9807,5.5930,0.5642,,,0,0,512000,153.7
129,515900,14.583105,14.390241,-76.967953,76.0197,76.0196,185.0602,196.7666,5.8922,0.5677,,,0,0,516000,155.2
130,519900,,,,,,,,,,,,0,0,520000,155.3
131,523900,15.271231,15.074927,-78.621730,77.5622,77.5618,189.8481,193.4620,5.5967,0.6071,,,0,0,524000,156.8
132,527900,14.793204,14.616817,-80.171551,79.2239,79.2232,179.8076,185.7808,5.1790,0.6451,,,0,0,528000,158.3
133,531900,14.704672,14.452933,-81.664685,80.7640,80.7634,188.3943,194.1855,5.0936,0.6518,,,0,0,532000,159.8
134,535900,15.616600,15.420318,-83.360781,82.4221,82.4228,187.0985,195.9242,5.7058,0.7250,,,0,0,536000,161.3
135,539900,,,,,,,,,,,,0,0,540000,161.4
136,543900,16.020345,15.841830,-85.007634,84.1256,84.1245,196.8188,203.6308,4.9079,0.7111,,,0,0,544000,162.9
137,547900,15.464148,15.311967,-86.641353,85.6183,85.6180,194.1194,202.2410,7.1095,0.8209,,,0,0,548000,164.4
138,551900,17.043015,16.897744,-88.032458,87.1624,87.1617,212.3919,222.0785,7.6461,0.8384,,,0,0,552000,165.9
139,555900,15.455888,15.269869,-89.568613,88.7378,88.7380,205.8986,209.3770,6.6519,0.7732,,,0,0,556000,167.3
140,559900,,,,,,,,,,,,0,0,560000,167.5
141,563900,15.779614,15.605549,-91.389153,90.3534,90.3528,204.9406,210.3765,7.0021,0.8711,,,0,0,564000,169.0
142,567900,15.616657,15.446371,-92.846171,91.9281,91.9281,205.8938,207.3182,6.9523,0.9155,,,0,0,568000,170.5
143,571900,16.775547,16.611746,-94.587878,93.5710,93.5715,221.4845,229.7471,6.3504,0.8914,,,0,0,572000,172.0
144,575900,15.925411,15.725859,-96.084013,95.1490,95.1484,218.2969,224.4770,7.3308,0.9143,,,0,0,576000,173.5
145,579900,,,,,,,,,,,,0,0,580000,173.7
146,583900,16.610444,16.465154,-97.702949,96.6438,96.6441,234.5606,241.1374,8.1656,0.9955,,,0,0,584000,175.1
147,587900,17.023338,16.851305,-99.247278,98.2679,98.2678,232.8213,238.5401,7.5100,0.9760,,,0,0,588000,176.6
148,591900,16.703786,16.541143,-100.927775,99.8628,99.8633,235.5354,243.2219,7.8351,1.0162,,,0,0,592000,178.1
149,595900,18.288630,18.143089,-102.565409,101.4733,101.4727,246.0904,254.6151,8.4121,1.0908,,,0,0,596000,179.5
150,599900,,,,,,,,,,,,0,0,600000,179.7
151,603900,16.812333,16.641440,-103.721620,102.7177,102.7183,226.7503,231.9339,7.4611,1.0471,3974.35,1001.0,100,49,604000,181.2
152,607900,26.419078,26.266767,-104.912439,104.1521,104.1514,272.2021,278.6856,8.6182,1.1333,,,0,0,608000,182.7
