epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
82,327900,10.544400,-90.705566,90.0583,35.2509,2.4779,0.3438,713.61,326.0,1,1,328000,127.8,0.030858,0.024296,0.003281
83,331900,10.551688,-91.848933,91.2185,33.2809,2.4507,0.3407,679.31,337.0,7,1,332000,129.7,0.019330,0.013944,0.002693
84,335900,10.782981,-93.006944,92.3684,36.7717,2.4530,0.3523,449.45,556.6,9,2,336000,131.6,0.050177,0.041766,0.004206
85,339900,,,,,,,608.92,348.6,10,3,340000,131.9,,,
86,343900,12.012841,-94.154978,93.5282,40.7802,2.4453,0.3471,482.70,252.7,3,2,344000,133.8,0.054124,0.045737,0.004194
87,347900,11.923011,-95.441716,94.7810,42.7895,2.4444,0.3626,756.44,516.2,4,1,348000,135.8,0.045651,0.036851,0.004400
88,351900,12.113068,-96.678626,96.0185,43.7462,2.5064,0.3774,383.74,429.2,6,4,352000,137.8,0.053636,0.044354,0.004641
89,355900,12.691486,-97.804537,97.1497,44.9318,2.4948,0.3817,611.61,436.5,4,3,356000,139.7,0.032492,0.025533,0.003479
90,359900,,,,,,,732.43,720.3,3,1,360000,139.9,,,
91,363900,12.293539,-98.990818,98.3544,43.0942,2.5156,0.3778,584.17,736.7,6,5,364000,141.8,0.024113,0.017646,0.003233
92,367900,12.603797,-100.335158,99.6733,46.8613,2.5836,0.3976,810.73,571.1,7,2,368000,143.7,0.035130,0.028161,0.003485
93,371900,12.470907,-101.600025,100.9508,40.5683,2.5310,0.3946,772.23,675.5,11,1,372000,145.8,0.026639,0.020437,0.003101
94,375900,13.117400,-102.832731,102.1772,43.5039,2.6478,0.4048,545.12,240.0,1,1,376000,147.7,0.035525,0.029322,0.003102
95,379900,,,,,,,891.26,615.5,23,11,380000,147.9,,,
96,383900,14.290736,-104.056756,103.4128,50.6051,2.7272,0.4164,1083.20,524.3,3,2,384000,149.8,0.086472,0.075043,0.005714
97,387900,14.925485,-105.327991,104.6758,52.8711,2.5959,0.4186,470.84,335.0,5,2,388000,151.7,0.075166,0.064947,0.005109
98,391900,14.413314,-106.538682,105.8887,50.9107,2.7324,0.4165,780.31,541.2,11,5,392000,153.7,0.030966,0.024088,0.003439
99,395900,14.733994,-108.017180,107.3261,55.1600,2.7120,0.4413,820.02,814.3,7,5,396000,155.7,0.037508,0.030666,0.003421
100,399900,,,,,,,756.75,616.6,7,3,400000,156.0,,,
1,3900,,,,,,,,,,-9.95,26.5,40,16,4000,0.5,,,
2,7900,,,,,,,,,,-14.42,45.7,16,10,8000,0.9,,,
3,11900,0.339935,0.343100,-1.248955,0.6998,0.7000,1.3333,1.3569,0.1083,0.0125,27.13,83.5,45,17,12000,6.5,,,
4,15900,0.543714,0.525366,-1.565807,0.4818,0.4817,2.1804,2.2746,0.1415,0.0064,-29.55,14.0,1,0,16000,12.6,0.741968,0.596548,0.072710
5,19900,,,,,,,,,,,,0,0,20000,13.0,,,
6,23900,0.425097,0.434694,1.800529,-0.9279,-0.9274,2.6042,2.5258,0.2875,0.0158,-235.90,143.5,62,37,24000,19.2,0.442805,0.371952,0.035427
7,27900,0.680196,0.673496,0.061556,-1.8575,-1.8572,3.8103,3.6073,0.9347,0.0110,-87.47,76.8,20,8,28000,25.5,0.472814,0.398838,0.036988
8,31900,0.710532,0.698065,1.944208,-2.7959,-2.7957,3.8495,3.7997,0.9666,0.0057,,,0,0,32000,31.7,0.385894,0.330091,0.027901
9,35900,0.802439,0.798076,1.162445,-2.5392,-2.5389,4.6364,4.4897,1.2655,0.0143,-100.74,124.0,1,1,36000,38.0,0.246156,0.206104,0.020026
10,39900,,,,,,,,,,,,0,0,40000,38.3,,,
11,43900,0.900878,0.884745,0.868115,-2.6571,-2.6573,5.1783,5.0420,2.9277,0.0199,,,0,0,44000,44.7,0.125547,0.099130,0.013208
12,47900,0.851866,0.835083,0.294662,-2.0764,-2.0762,5.0898,4.8971,3.9965,0.0260,,,0,0,48000,50.8,0.060231,0.041661,0.009285
13,51900,0.789880,0.769451,-0.455825,-1.2585,-1.2587,5.0601,4.8530,2.8803,0.0289,,,0,0,52000,57.1,0.035037,0.020895,0.007071
14,55900,0.755078,0.734193,-1.019590,-0.5690,-0.5690,5.0645,4.9180,3.1209,0.0325,,,0,0,56000,63.3,0.025692,0.013970,0.005861
15,59900,,,,,,,,,,,,0,0,60000,63.7,,,
16,63900,0.714152,0.693080,-1.609077,0.1114,0.1111,4.6054,4.6840,3.0982,0.0361,,,0,0,64000,70.0,0.027394,0.016300,0.005547
17,67900,0.674428,0.657342,-2.190201,0.7723,0.7723,4.4473,4.5318,2.9415,0.0347,,,0,0,68000,76.1,0.015212,0.006358,0.004427
18,71900,0.640183,0.623641,-2.811561,1.4545,1.4542,4.2072,4.1349,2.7277,0.0342,,,0,0,72000,82.3,0.015912,0.008127,0.003893
19,75900,0.625025,0.612070,-3.415977,2.1293,2.1293,4.1581,4.2056,2.6618,0.0374,44.93,491.0,1,1,76000,88.3,0.010729,0.003298,0.003715
20,79900,,,,,,,,,,95.70,527.0,1,1,80000,88.7,,,
21,83900,0.603628,0.592283,-3.991913,2.7812,2.7811,4.0701,4.1068,2.6152,0.0413,,,0,0,84000,95.0,0.016735,0.006535,0.005100
22,87900,0.568679,0.558272,-4.592259,3.4359,3.4356,3.7375,3.7806,2.3922,0.0405,,,0,0,88000,101.3,0.013109,0.004477,0.004316
23,91900,0.552158,0.541987,-5.164877,4.0592,4.0591,3.6528,3.7897,2.4319,0.0411,,,0,0,92000,107.5,0.009364,0.001993,0.003686
24,95900,0.527172,0.518345,-5.733786,4.6811,4.6812,3.5559,3.6571,2.2895,0.0424,,,0,0,96000,113.7,0.009168,0.002523,0.003322
25,99900,,,,,,,,,,-54.89,1000.0,14,5,100000,114.1,,,
26,103900,0.507364,0.498133,-6.312034,5.3089,5.3089,3.4450,3.3845,2.4636,0.0449,5.88,1001.0,7,3,104000,120.4,0.090411,0.076710,0.006851
27,107900,0.510161,0.502087,-6.903889,5.9241,5.9241,3.2781,3.3518,2.3521,0.0462,38.27,1001.0,4,1,108000,126.7,0.089958,0.072915,0.008521
28,111900,0.492754,0.485573,-7.468638,6.5323,6.5326,3.2587,3.2796,2.4046,0.0468,50.11,1001.0,9,6,112000,133.0,0.052332,0.038618,0.006857
29,115900,0.503698,0.497308,-8.052079,7.1378,7.1378,3.2794,3.3100,2.5394,0.0503,105.46,1001.0,1,1,116000,139.3,0.080618,0.065801,0.007409
30,119900,,,,,,,,,,,,0,0,120000,139.7,,,
31,123900,0.501045,0.493095,-8.613116,7.7323,7.7326,3.1782,3.1582,2.2562,0.0493,354.22,1001.0,44,22,124000,146.0,0.034957,0.022508,0.006225
32,127900,0.556051,0.547336,-9.204671,8.3616,8.3615,3.2986,3.3210,2.4466,0.0510,457.64,950.2,19,5,128000,152.4,0.288271,0.228645,0.029813
33,131900,0.600993,0.595591,-9.851397,9.0256,9.0256,3.4266,3.5102,2.2541,0.0555,54.84,49.0,1,1,132000,158.7,0.243727,0.180029,0.031849
34,135900,0.617727,0.610452,-10.426833,9.6169,9.6173,3.3395,3.3610,2.4501,0.0563,387.72,569.5,2,0,136000,165.0,0.134464,0.089189,0.022638
35,139900,,,,,,,,,,164.50,151.0,1,0,140000,165.4,,,
36,143900,0.652762,0.646464,-11.003926,10.2031,10.2031,3.7460,3.5991,2.6831,0.0612,201.07,214.5,2,2,144000,171.7,0.119910,0.079595,0.020157
37,147900,0.669018,0.670570,-11.605353,10.8205,10.8203,3.3957,3.5005,2.4596,0.0598,209.54,201.7,6,1,148000,178.0,0.059934,0.029870,0.015032
