epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
125,499900,,,,,,,,,250.42,51.1,78,500000,602.9
126,503900,232.786496,244.484231,-122.535111,119.8359,119.8334,8619.3978,6054.4292,4.1050,253.12,51.7,75,504000,609.8
127,507900,230.379398,240.621622,-121.977272,119.2691,119.2738,8789.5661,6182.3272,4.1378,257.18,52.4,70,508000,616.4
128,511900,229.690679,237.475394,-121.579427,119.0407,119.0477,8629.9872,6190.4705,4.9878,258.65,52.8,80,512000,622.4
129,515900,232.143069,238.471915,-121.300408,118.7373,118.7427,8573.6789,6466.1166,4.8669,255.18,52.2,78,516000,628.3
130,519900,,,,,,,,,258.94,53.1,75,520000,629.2
131,523900,227.826139,239.672408,-120.890909,118.3093,118.3251,8549.1566,6485.4925,4.2072,290.22,59.7,60,524000,635.6
132,527900,230.321803,237.442840,-120.855807,118.0695,118.0676,8673.7173,6549.0853,4.3516,290.92,59.6,69,528000,642.4
133,531900,227.488044,232.394714,-120.451334,117.7886,117.7779,8827.9541,6274.9611,4.1421,271.72,55.8,79,532000,649.6
134,535900,226.906975,234.595587,-120.101648,117.4928,117.4959,8806.3520,6417.5030,4.3818,264.78,54.7,70,536000,655.9
135,539900,,,,,,,,,258.61,53.2,70,540000,656.6
136,543900,230.797195,234.620062,-119.933634,117.2962,117.3032,8603.1592,6621.9986,3.9649,273.85,56.5,73,544000,663.2
137,547900,228.507701,231.777445,-119.392710,116.8710,116.8754,8429.9335,6380.8545,3.4662,264.55,54.9,82,548000,669.0
138,551900,226.776527,231.145519,-119.079746,116.5349,116.5434,8440.6282,6638.7133,3.5869,262.01,54.2,61,552000,674.9
139,555900,224.274250,231.914001,-118.796992,116.2476,116.2563,8342.1991,6377.6175,3.1571,266.24,54.9,77,556000,680.5
140,559900,,,,,,,,,265.45,55.0,78,560000,681.1
141,563900,224.985940,235.297097,-118.445802,115.9065,115.9132,8530.0679,6494.5659,3.5217,267.52,55.1,72,564000,687.1
