epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
112,447900,0.713198,0.671427,-8.939163,8.4704,8.4701,2.4897,2.9381,0.6392,0.0172,52.64,54.6,66,31,448000,62.3
113,451900,0.721000,0.681041,-9.022005,8.5645,8.5652,2.4678,2.9007,1.6138,0.0323,53.77,55.8,80,32,452000,63.0
114,455900,0.725910,0.684678,-9.118587,8.6520,8.6525,2.4602,3.0334,1.1112,0.0241,49.68,51.7,82,39,456000,63.7
115,459900,,,,,,,,,,52.15,54.1,67,32,460000,63.9
116,463900,0.718494,0.675807,-9.216745,8.7601,8.7599,2.7614,3.2544,1.2524,0.0439,52.13,54.1,76,42,464000,64.5
117,467900,0.758416,0.713911,-9.319261,8.8551,8.8525,2.3210,3.0143,0.9075,0.0332,49.24,51.2,80,37,468000,65.2
118,471900,0.818189,0.768045,-9.377215,8.9317,8.9331,2.5243,3.2564,0.9787,0.0314,49.17,51.2,81,43,472000,65.9
119,475900,0.789222,0.744489,-9.475718,9.0352,9.0346,2.3301,3.0771,1.1650,0.0431,49.19,51.2,81,38,476000,66.6
120,479900,,,,,,,,,,48.15,50.2,78,42,480000,66.8
121,483900,0.785234,0.738982,-9.600800,9.1316,9.1315,2.4492,3.2170,1.7870,0.0590,48.35,50.4,71,31,484000,67.5
122,487900,0.811407,0.762380,-9.684204,9.2121,9.2113,2.5649,3.4263,1.1020,0.0163,48.30,50.3,84,40,488000,68.2
123,491900,0.808363,0.755297,-9.717771,9.2821,9.2812,2.8043,3.4239,1.5109,0.0174,48.31,50.3,88,46,492000,68.9
124,495900,0.803144,0.754073,-9.826829,9.3660,9.3657,2.7776,3.7840,2.0364,0.0386,47.89,49.9,75,56,496000,69.6
125,499900,,,,,,,,,,50.16,52.2,73,34,500000,69.8
126,503900,0.854845,0.801272,-9.915109,9.4770,9.4762,2.7683,3.7838,1.1626,0.0602,51.11,53.1,63,41,504000,70.5
127,507900,0.893612,0.831303,-10.010213,9.5429,9.5440,2.5351,3.6103,1.2507,0.0589,53.53,55.5,89,38,508000,71.2
128,511900,0.836096,0.785101,-10.118575,9.6451,9.6440,2.7021,3.7085,1.1244,0.0491,54.51,56.5,67,34,512000,71.9
129,515900,0.878474,0.824223,-10.225133,9.7372,9.7365,2.9307,3.9811,1.1891,0.0360,50.96,53.0,69,39,516000,72.6
130,519900,,,,,,,,,,49.13,51.1,78,38,520000,72.8
131,523900,0.870722,0.812385,-10.322568,9.8175,9.8197,2.6908,3.8407,1.1535,0.0682,50.46,52.5,84,41,524000,73.5
