epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
72,287900,86.140168,89.252419,-45.014823,40.1197,40.1328,152.5958,139.7013,0.2155,0.0291,139.32,17.2,226,109,288000,44.1
73,291900,88.281994,91.867687,-45.808655,40.9968,40.9986,141.6492,131.0915,0.3865,0.0485,136.40,16.8,245,123,292000,44.9
74,295900,92.626812,95.944548,-46.450351,41.6981,41.6942,163.5290,146.4258,0.3905,0.0403,144.25,17.7,215,88,296000,45.5
75,299900,,,,,,,,,,139.14,17.1,243,132,300000,45.8
76,303900,92.881414,96.248314,-47.309381,42.3224,42.3264,178.1559,169.1555,0.2753,0.0342,136.04,16.8,249,121,304000,46.5
77,307900,96.666185,100.009855,-48.279805,43.2853,43.2856,180.6348,166.4731,0.4381,0.0483,137.45,16.9,222,115,308000,47.2
78,311900,99.780257,103.430514,-48.872402,44.0857,44.0746,188.7297,169.7375,0.3412,0.0694,137.98,17.0,243,115,312000,47.9
79,315900,101.098679,105.069046,-49.706825,44.7209,44.7240,172.9735,164.5888,0.3440,0.0670,139.03,17.1,227,102,316000,48.7
80,319900,,,,,,,,,,138.08,17.0,234,118,320000,48.9
81,323900,105.456379,109.210078,-50.446366,45.4865,45.4889,203.4918,188.0983,0.4056,0.0887,134.90,16.7,250,119,324000,49.6
82,327900,106.846567,110.604075,-51.275516,46.2736,46.2784,174.4304,166.9970,0.3173,0.0618,129.86,16.1,242,109,328000,50.4
83,331900,111.514053,115.210668,-51.889793,46.9209,46.9249,241.5711,217.6601,0.3751,0.0550,140.23,17.2,229,106,332000,51.0
84,335900,114.290612,118.099242,-52.687579,47.6853,47.6646,237.6080,229.5655,0.3951,0.0666,149.26,18.2,224,101,336000,51.7
85,339900,,,,,,,,,,139.25,17.1,234,114,340000,52.0
86,343900,118.780145,122.586844,-53.400901,48.3710,48.3839,180.7314,163.0400,0.4093,0.0494,140.73,17.3,221,108,344000,52.7
87,347900,118.965007,122.680491,-53.808675,48.9215,48.9194,214.0586,199.3989,0.4746,0.0643,146.80,18.0,233,111,348000,53.4
88,351900,126.201537,130.132289,-54.931342,49.9438,49.9433,209.6752,190.8928,0.3091,0.0556,147.09,18.0,223,115,352000,54.1
89,355900,126.404988,130.486612,-55.535388,50.5391,50.5497,229.7524,212.9244,0.3377,0.0576,139.90,17.2,227,102,356000,54.8
90,359900,,,,,,,,,,147.05,18.0,219,112,360000,55.0
