epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
68,271900,1.875230,1.839231,-21.262573,20.4766,20.4761,19.8114,22.4855,1.1793,0.1289,,,0,0,272000,94.0,0.026250,0.021708,0.002271
69,275900,1.847606,1.814465,-22.096712,21.3212,21.3212,21.5452,24.4229,1.1208,0.1308,,,0,0,276000,95.7,0.013870,0.011191,0.001339
70,279900,,,,,,,,,,,,0,0,280000,95.9,,,
71,283900,1.904536,1.874566,-22.984410,22.1985,22.1984,21.7170,25.5408,1.2349,0.1333,,,0,0,284000,97.7,0.027912,0.023976,0.001968
72,287900,1.916319,1.879098,-23.885411,23.0870,23.0871,21.6884,25.7194,1.3541,0.1464,,,0,0,288000,99.5,0.011824,0.009439,0.001192
73,291900,1.970472,1.936318,-24.746465,23.9471,23.9468,23.3187,26.3637,1.3138,0.1446,,,0,0,292000,101.6,0.014128,0.011436,0.001346
74,295900,1.943353,1.912803,-25.629505,24.8364,24.8365,24.3824,27.8429,1.3256,0.1506,,,0,0,296000,103.6,0.024039,0.020293,0.001873
75,299900,,,,,,,,,,,,0,0,300000,103.8,,,
76,303900,1.996687,1.967793,-26.537606,25.7276,25.7279,25.6342,29.5370,1.3288,0.1514,1129.85,1001.0,100,46,304000,105.7,0.011516,0.009528,0.000994
77,307900,2.521211,2.473211,-27.490686,26.7076,26.7078,27.7522,32.4935,1.4954,0.1609,,,0,0,308000,107.6,0.598482,0.536108,0.031187
78,311900,2.632434,2.584336,-28.547519,27.7964,27.7969,29.7198,34.4529,1.3752,0.1589,,,0,0,312000,109.6,0.230031,0.193942,0.018045
79,315900,2.767447,2.727597,-29.624149,28.8405,28.8410,30.7024,36.9999,1.5084,0.1738,,,0,0,316000,111.5,0.166950,0.141818,0.012566
80,319900,,,,,,,,,,,,0,0,320000,111.7,,,
81,323900,2.748159,2.709880,-30.630234,29.8875,29.8878,31.8237,37.2093,1.4860,0.1764,,,0,0,324000,113.6,0.147120,0.123960,0.011580
82,327900,2.895314,2.846341,-31.566552,30.8126,30.8128,31.9730,39.0400,1.5393,0.1832,,,0,0,328000,115.5,0.112643,0.094652,0.008995
83,331900,3.058325,3.017310,-32.542336,31.7593,31.7600,36.5828,43.5490,1.6247,0.1848,,,0,0,332000,117.4,0.094404,0.078442,0.007981
84,335900,2.945466,2.907734,-33.364948,32.6178,32.6181,32.9186,38.8510,1.5714,0.1862,,,0,0,336000,119.4,0.079225,0.066255,0.006485
85,339900,,,,,,,,,,,,0,0,340000,119.5,,,
86,343900,3.018361,2.983127,-34.171714,33.4330,33.4332,34.6709,41.0969,1.4985,0.1936,,,0,0,344000,121.3,0.088802,0.075111,0.006845
87,347900,3.228517,3.187425,-34.977462,34.2295,34.2301,37.8219,45.1114,1.5581,0.1988,,,0,0,348000,123.4,0.071411,0.059788,0.005811
88,351900,3.158968,3.116623,-35.777269,35.0192,35.0195,36.4659,43.4254,1.5216,0.2047,,,0,0,352000,125.2,0.062680,0.051797,0.005441
89,355900,3.285958,3.241065,-36.650542,35.8839,35.8844,37.9612,45.7355,1.6820,0.2130,,,0,0,356000,127.0,0.062551,0.052989,0.004781
90,359900,,,,,,,,,,,,0,0,360000,127.1,,,
91,363900,3.313627,3.255861,-37.423780,36.6528,36.6534,38.5523,45.7521,1.5538,0.2117,,,0,0,364000,128.8,0.073601,0.062235,0.005683
92,367900,3.280370,3.231901,-38.194424,37.4193,37.4198,38.3497,45.4216,1.6666,0.2123,,,0,0,368000,130.6,0.055005,0.045639,0.004683
93,371900,3.300945,3.248114,-39.029077,38.2279,38.2283,40.7195,47.7459,1.6266,0.2115,,,0,0,372000,132.4,0.054054,0.045222,0.004416
94,375900,3.490488,3.437032,-39.823399,38.9956,38.9962,40.9210,48.8564,1.6186,0.2129,,,0,0,376000,134.3,0.044192,0.036410,0.003891
95,379900,,,,,,,,,,,,0,0,380000,134.5,,,
96,383900,3.391280,3.352566,-40.643902,39.8172,39.8180,41.4319,51.4049,1.9588,0.2275,,,0,0,384000,136.3,0.045762,0.038159,0.003801
97,387900,3.466180,3.409949,-41.335129,40.5571,40.5575,42.9861,49.8891,1.7058,0.2226,,,0,0,388000,138.0,0.046841,0.039165,0.003838
98,391900,3.516685,3.462720,-42.184866,41.3586,41.3591,43.4828,51.9622,1.8524,0.2233,,,0,0,392000,139.9,0.048831,0.040991,0.003920
99,395900,3.666135,3.606662,-42.916887,42.0941,42.0948,46.1466,53.3255,1.6765,0.2226,,,0,0,396000,141.8,0.038141,0.031419,0.003361
100,399900,,,,,,,,,,,,0,0,400000,141.9,,,
101,403900,3.457859,3.404734,-43.690760,42.8627,42.8632,46.2731,52.9392,1.8341,0.2333,1502.25,1001.0,100,45,404000,144.0,0.036340,0.029939,0.003200
