epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
73,291900,98.282900,98.828165,-45.465797,39.3821,39.3798,200.6798,186.0956,0.5876,0.0000,154.15,18.8,211,114,292000,59.2,0.602636,0.515413,0.043612
74,295900,101.455820,102.074384,-46.302048,40.1859,40.1913,172.3968,162.6520,0.6703,0.0000,149.57,18.3,219,109,296000,60.6,0.581829,0.497944,0.041942
75,299900,,,,,,,,,,152.35,18.6,218,111,300000,60.8,,,
76,303900,106.174154,106.748036,-46.920967,40.8420,40.8419,199.8163,182.3141,0.7840,0.0000,148.75,18.2,217,119,304000,62.2,0.599364,0.513329,0.043017
77,307900,106.666397,107.277666,-47.557007,41.4836,41.4908,229.6370,217.4912,0.7687,0.0000,154.65,18.8,219,108,308000,63.6,0.627224,0.536262,0.045481
78,311900,108.538802,109.097100,-48.653954,42.4541,42.4584,230.7042,221.5155,0.8715,0.0000,152.74,18.6,217,109,312000,65.0,0.602834,0.515782,0.043526
79,315900,111.625277,112.427396,-49.579893,43.2801,43.2757,233.6433,219.6216,0.7748,0.0000,144.87,17.8,217,125,316000,66.5,0.586211,0.502029,0.042091
80,319900,,,,,,,,,,161.07,19.5,205,105,320000,66.7,,,
81,323900,111.475788,112.337522,-50.179321,44.0408,44.0490,229.1687,218.8667,0.6551,0.0000,165.87,20.0,200,93,324000,68.2,0.614297,0.525263,0.044517
82,327900,114.705710,115.463131,-51.002019,44.7096,44.7081,213.9273,201.1611,0.7274,0.0000,155.51,18.9,212,96,328000,69.5,0.609086,0.521150,0.043968
83,331900,121.211798,122.189430,-51.680387,45.2965,45.3035,242.9080,228.0430,1.1349,0.0000,154.43,18.8,209,99,332000,70.9,0.603059,0.515802,0.043629
84,335900,122.610775,123.867856,-52.547771,46.2024,46.2049,272.7622,257.1640,0.8293,0.0000,173.69,20.9,187,102,336000,72.3,0.609063,0.521989,0.043537
85,339900,,,,,,,,,,174.94,21.0,196,97,340000,72.5,,,
86,343900,129.330943,130.160042,-53.061269,46.6768,46.6822,234.8188,221.0266,0.7226,0.0000,173.62,20.9,191,106,344000,73.9,0.640786,0.547587,0.046599
87,347900,128.222431,129.269018,-54.053969,47.5507,47.5520,310.6919,290.0766,1.0983,0.0000,174.89,21.0,195,96,348000,75.3,0.606356,0.519020,0.043668
88,351900,131.453164,132.639589,-54.751096,48.4062,48.4102,306.7330,281.6095,1.0311,0.0000,176.71,21.2,184,92,352000,76.7,0.617977,0.529016,0.044481
89,355900,131.108539,131.884057,-55.736902,49.0450,49.0483,290.8252,278.6926,1.0202,0.0000,190.77,22.7,165,74,356000,78.2,0.637248,0.545086,0.046081
90,359900,,,,,,,,,,193.76,23.0,181,94,360000,78.4,,,
91,363900,139.008644,139.767165,-56.487984,49.8134,49.8119,255.4234,237.7709,0.8911,0.0000,187.53,22.4,182,82,364000,79.8,0.645156,0.550655,0.047251
92,367900,139.078739,139.951915,-57.319312,50.4734,50.4688,283.1358,266.5758,1.1371,0.0000,187.20,22.3,170,98,368000,81.3,0.648223,0.553541,0.047341
93,371900,144.559936,145.426898,-57.866399,51.0966,51.1026,293.0555,268.6274,0.9694,0.0000,191.32,22.8,180,87,372000,82.5,0.645157,0.551502,0.046828
94,375900,147.397247,148.981530,-58.843492,51.9315,51.9314,296.4354,278.1032,1.2530,0.0000,190.11,22.7,171,79,376000,84.0,0.645231,0.551586,0.046822
95,379900,,,,,,,,,,198.57,23.6,174,89,380000,84.3,,,
96,383900,148.973381,149.977500,-59.728675,52.7342,52.7417,283.6914,261.7141,1.0537,0.0000,194.77,23.2,171,89,384000,85.8,0.659268,0.562381,0.048444
97,387900,149.975425,151.304228,-60.365946,53.4014,53.4057,291.1537,276.4834,0.7414,0.0000,198.04,23.5,170,81,388000,87.2,0.647586,0.552919,0.047333
98,391900,154.551820,155.296039,-61.342008,54.2273,54.2282,402.0671,362.9885,0.9306,0.0000,195.91,23.3,168,82,392000,88.6,0.655041,0.558799,0.048121
99,395900,156.533255,157.492924,-61.970485,55.0189,55.0185,434.2722,397.8698,0.9898,0.0000,199.49,23.7,173,86,396000,90.0,0.655638,0.559360,0.048139
100,399900,,,,,,,,,,191.48,22.8,180,97,400000,90.3,,,
101,403900,162.289618,163.297742,-62.871886,55.8667,55.8715,419.8506,394.9109,1.0350,0.0000,192.54,22.9,166,86,404000,91.7,0.650841,0.555621,0.047610
102,407900,164.600597,165.720396,-63.687531,56.5503,56.5528,381.4611,354.0731,0.8137,0.0000,197.70,23.5,170,78,408000,93.1,0.662248,0.565492,0.048378
103,411900,168.154700,169.666698,-64.295053,57.1095,57.1146,350.7769,329.3427,1.1454,0.0000,201.98,23.9,175,87,412000,94.5,0.660576,0.563265,0.048656
104,415900,167.646266,168.627971,-64.983537,57.9115,57.9153,332.3442,309.2124,1.2099,0.0000,198.92,23.6,163,82,416000,96.0,0.675364,0.576078,0.049643
105,419900,,,,,,,,,,192.07,22.9,181,96,420000,96.2,,,
106,423900,175.229273,176.433892,-65.574486,58.4840,58.4783,410.6770,393.8097,1.1766,0.0000,185.96,22.2,180,81,424000,97.6,0.648632,0.554394,0.047119
107,427900,173.865247,175.413385,-66.338178,59.3942,59.3997,447.2894,411.1181,1.2636,0.0000,185.71,22.2,179,84,428000,99.0,0.670844,0.571838,0.049503
