epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
83,331900,13.544147,-106.844554,106.1344,44.8015,2.5364,0.3792,1948.00,1001.0,3,3,332000,107.9
84,335900,13.228896,-108.267628,107.5747,37.5071,2.6702,0.3760,757.05,765.0,9,7,336000,109.5
85,339900,,,,,,,1093.04,557.2,5,3,340000,109.8
86,343900,14.516279,-109.638004,108.9513,43.0341,2.7691,0.3871,913.59,635.8,6,3,344000,111.4
87,347900,14.151949,-111.137512,110.4513,42.7890,2.7043,0.3866,677.24,357.4,5,5,348000,113.1
88,351900,14.536368,-112.506009,111.8024,45.3384,2.6280,0.3926,787.59,520.8,5,3,352000,114.7
89,355900,14.244978,-113.826258,113.1383,44.6238,2.7047,0.4004,1008.43,876.8,4,1,356000,116.3
90,359900,,,,,,,904.69,527.3,10,4,360000,116.6
91,363900,15.138792,-115.282417,114.6233,45.2291,2.6390,0.4113,1165.01,575.1,10,5,364000,118.2
92,367900,15.820041,-116.430628,115.7517,48.9227,2.7350,0.4139,353.09,184.2,5,2,368000,119.8
93,371900,15.722801,-117.930242,117.2559,52.4507,2.7478,0.4226,776.94,605.4,7,2,372000,121.5
94,375900,16.276705,-119.093010,118.4089,51.8194,2.8056,0.4346,984.63,521.3,12,7,376000,123.2
95,379900,,,,,,,1011.47,805.5,6,4,380000,123.4
96,383900,16.923783,-120.346283,119.6699,51.2332,2.8481,0.4421,681.70,429.2,6,5,384000,125.2
97,387900,18.402768,-121.598247,120.9144,55.2500,2.9128,0.4568,700.57,422.6,8,3,388000,126.9
98,391900,17.532603,-122.889018,122.2175,56.0052,2.8445,0.4773,263.92,523.0,2,0,392000,128.7
99,395900,17.563403,-123.999863,123.3373,57.4288,2.9178,0.4798,1036.58,488.2,5,3,396000,130.3
100,399900,,,,,,,1090.83,649.6,8,3,400000,130.5
1,3900,,,,,,,,,,-7.73,23.9,34,17,4000,0.3
2,7900,,,,,,,,,,-19.61,44.1,11,9,8000,0.7
3,11900,0.312528,0.314762,-0.947860,0.4618,0.4618,1.2201,1.2153,0.0920,0.0077,,,0,0,12000,2.4
4,15900,0.422400,0.444878,-0.476287,-0.0646,-0.0648,1.9486,1.9458,0.1976,0.0001,-97.63,141.0,10,2,16000,3.9
5,19900,,,,,,,,,,-134.36,153.6,18,9,20000,4.2
6,23900,0.657220,0.655362,-0.338017,-0.7597,-0.7597,4.0023,3.7935,1.2479,0.0001,-159.49,210.7,3,3,24000,5.8
7,27900,0.669857,0.664483,-0.427479,-0.6675,-0.6676,4.4646,4.4024,1.9821,0.0105,-149.90,198.2,6,2,28000,7.4
8,31900,0.816403,0.815764,-0.821482,-0.8196,-0.8195,5.1917,4.9270,2.3018,0.0317,-174.50,252.6,5,4,32000,8.9
9,35900,0.855351,0.855655,-1.304155,-0.1719,-0.1719,5.6357,5.4447,2.5865,0.0269,,,0,0,36000,10.6
10,39900,,,,,,,,,,,,0,0,40000,10.8
11,43900,0.849335,0.853895,-2.228801,0.8908,0.8910,5.9566,5.8854,2.5488,0.0257,,,0,0,44000,12.5
12,47900,0.805780,0.802972,-2.924563,1.7169,1.7165,5.9986,5.6401,2.6247,0.0305,,,0,0,48000,14.1
13,51900,0.765243,0.761865,-3.589101,2.4685,2.4685,5.7929,5.7077,2.3899,0.0320,,,0,0,52000,15.7
14,55900,0.731469,0.730260,-4.184455,3.1471,3.1470,5.7804,5.6887,2.6855,0.0336,,,0,0,56000,17.4
15,59900,,,,,,,,,,,,0,0,60000,17.6
16,63900,0.713770,0.710338,-4.780700,3.8025,3.8023,5.8197,5.8448,2.3936,0.0369,179.75,454.0,1,1,64000,19.2
17,67900,0.706419,0.700746,-5.377892,4.4701,4.4699,5.6121,5.6194,2.4798,0.0375,216.80,370.0,1,1,68000,20.9
18,71900,0.683343,0.676411,-5.992916,5.1417,5.1416,5.2062,5.4184,2.3481,0.0407,,,0,0,72000,22.5
19,75900,0.702483,0.694480,-6.613302,5.8009,5.8005,5.1263,5.1867,2.0815,0.0437,,,0,0,76000,24.1
20,79900,,,,,,,,,,169.27,760.0,1,0,80000,24.3
21,83900,0.727604,0.714475,-7.173711,6.4280,6.4280,5.2116,5.2135,2.4076,0.0485,363.36,563.0,1,1,84000,26.0
22,87900,0.749898,0.739138,-7.720291,7.0079,7.0082,5.1073,5.2346,2.4630,0.0509,412.12,646.0,1,1,88000,27.6
23,91900,0.731078,0.723577,-8.270827,7.5807,7.5806,4.9084,5.1306,2.3588,0.0515,,,0,0,92000,29.2
24,95900,0.740511,0.734639,-8.822198,8.1469,8.1470,4.6140,4.7125,2.1277,0.0539,324.84,848.5,2,1,96000,30.9
25,99900,,,,,,,,,,252.71,979.3,38,20,100000,31.1
26,103900,0.763816,0.761374,-9.341451,8.6918,8.6917,4.6234,4.8488,2.2817,0.0552,242.96,840.2,18,9,104000,32.9
27,107900,0.826595,0.820605,-9.955050,9.3161,9.3160,5.0679,5.2236,2.2194,0.0566,332.48,849.3,10,5,108000,34.5
28,111900,0.847163,0.848676,-10.529942,9.9132,9.9136,4.7365,4.9460,2.2465,0.0620,,,0,0,112000,36.1
29,115900,0.860596,0.861312,-11.079436,10.5070,10.5070,4.8345,4.9931,2.7285,0.0677,462.10,811.2,9,3,116000,37.8
30,119900,,,,,,,,,,452.73,778.1,19,8,120000,38.0
31,123900,0.886369,0.895522,-11.636972,11.0605,11.0606,4.6982,4.9979,2.4495,0.0688,254.99,363.8,10,5,124000,39.7
32,127900,0.906707,0.907243,-12.168364,11.6065,11.6063,4.8473,4.8471,2.3638,0.0729,429.45,564.6,8,5,128000,41.3
33,131900,0.962878,0.971819,-12.687949,12.1320,12.1324,4.8990,5.2838,2.0450,0.0746,447.10,592.7,9,6,132000,43.1
34,135900,0.996576,0.990523,-13.206504,12.6617,12.6616,4.9806,5.1428,2.5216,0.0793,331.10,307.0,1,0,136000,44.7
35,139900,,,,,,,,,,141.54,154.8,5,3,140000,45.0
36,143900,1.019058,1.022135,-13.721352,13.1705,13.1705,4.9956,5.1894,2.2866,0.0793,145.84,127.0,2,1,144000,46.6
37,147900,1.020476,1.024740,-14.182872,13.6428,13.6432,4.9140,5.1098,2.0629,0.0805,163.80,136.2,4,2,148000,48.2
38,151900,1.054472,1.055245,-14.642655,14.1047,14.1045,4.8393,5.0026,2.0264,0.0821,215.25,204.2,6,4,152000,49.8
39,155900,1.069719,1.070018,-15.081033,14.5388,14.5389,5.1769,5.1028,2.0225,0.0855,382.09,384.0,1,0,156000,51.5
40,159900,,,,,,,,,,158.30,130.0,2,1,160000,51.7
41,163900,1.027184,1.028121,-15.483267,14.9517,14.9514,4.7488,4.8600,1.9565,0.0854,376.35,389.0,1,0,164000,53.5
42,167900,1.028270,1.029779,-15.890009,15.3629,15.3628,4.9639,5.0897,1.9859,0.0867,738.03,1001.0,1,0,168000,55.1
43,171900,1.016483,1.014251,-16.279365,15.7660,15.7661,4.8211,4.8815,1.8082,0.0878,236.27,193.0,1,0,172000,56.7
44,175900,0.999104,1.004190,-16.691544,16.1777,16.1779,4.7017,4.7696,1.8539,0.0905,34.98,26.0,1,1,176000,58.3
45,179900,,,,,,,,,,265.57,313.0,1,0,180000,58.6
46,183900,0.999495,1.002936,-17.062706,16.5673,16.5672,4.7935,5.0007,2.0810,0.0918,860.12,1001.0,1,1,184000,60.2
47,187900,1.000366,1.004781,-17.438703,16.9405,16.9404,4.6714,4.8467,2.1209,0.0954,493.13,516.5,2,1,188000,61.8
48,191900,0.982917,0.988642,-17.798386,17.3085,17.3084,4.5896,4.6820,1.9467,0.0953,,,0,0,192000,63.4
49,195900,0.997524,1.003192,-18.170304,17.6777,17.6777,4.6204,4.7525,1.9169,0.0962,743.53,1001.0,1,1,196000,65.1
50,199900,,,,,,,,,,,,0,0,200000,65.4
51,203900,1.010463,1.017761,-18.498149,18.0068,18.0066,4.7071,4.7426,1.9528,0.0985,776.66,978.0,42,22,204000,67.1
52,207900,1.094583,1.103764,-18.913532,18.4412,18.4412,4.7982,4.9375,2.0425,0.1035,597.81,731.8,14,9,208000,68.8
53,211900,1.131467,1.133391,-19.387712,18.9200,18.9197,5.0378,5.1524,1.9026,0.1042,382.34,373.7,3,1,212000,70.4
54,215900,1.136661,1.132012,-19.827424,19.3551,19.3552,4.7298,4.7732,1.8443,0.1070,684.46,819.4,5,3,216000,72.0
55,219900,,,,,,,,,,648.34,785.4,12,6,220000,72.3
56,223900,1.203054,1.194068,-20.251273,19.8012,19.8010,4.8902,4.9808,1.9871,0.1099,656.27,781.6,8,3,224000,73.9
57,227900,1.231364,1.219404,-20.686502,20.2408,20.2408,5.0660,5.1135,1.9602,0.1108,553.42,658.0,10,6,228000,75.6
58,231900,1.251969,1.245820,-21.144599,20.6970,20.6968,5.0181,5.0729,1.9015,0.1124,642.59,765.9,7,3,232000,77.2
59,235900,1.263579,1.263350,-21.569699,21.1306,21.1308,4.9683,5.2061,1.9982,0.1140,,,0,0,236000,78.9
60,239900,,,,,,,,,,726.85,838.8,5,3,240000,79.1
61,243900,1.345213,1.337743,-22.018737,21.5680,21.5678,4.9943,5.3054,2.0307,0.1167,,,0,0,244000,80.8
62,247900,1.319073,1.309820,-22.429932,21.9891,21.9892,5.1436,5.1782,1.7856,0.1181,694.27,811.0,3,1,248000,82.5
63,251900,1.354561,1.348735,-22.829128,22.3860,22.3855,5.1026,5.1726,1.9975,0.1212,954.91,1001.0,2,1,252000,84.1
64,255900,1.380310,1.379194,-23.258544,22.7988,22.7990,5.0411,5.1958,1.9370,0.1246,926.93,1001.0,1,1,256000,85.7
65,259900,,,,,,,,,,851.94,1001.0,2,2,260000,86.0
66,263900,1.372907,1.363329,-23.668741,23.1942,23.1936,5.1978,5.3469,1.9764,0.1250,883.34,1001.0,1,1,264000,87.6
67,267900,1.404632,1.392082,-24.077146,23.6018,23.6020,5.4444,5.3006,2.0442,0.1283,738.81,840.0,2,0,268000,89.2
68,271900,1.405975,1.391726,-24.467664,23.9970,23.9968,5.3556,5.3888,1.9048,0.1284,26.31,26.0,1,0,272000,90.9
69,275900,1.464551,1.457644,-24.886168,24.4035,24.4033,5.3317,5.3573,2.0495,0.1343,760.85,681.0,3,1,276000,92.5
70,279900,,,,,,,,,,1057.79,897.5,2,1,280000,92.7
71,283900,1.491680,1.472715,-25.301829,24.8222,24.8222,5.2258,5.2016,2.1102,0.1352,673.53,623.0,4,2,284000,94.4
72,287900,1.530692,1.518938,-25.731741,25.2417,25.2415,5.5722,5.7145,2.1396,0.1405,1041.74,1001.0,1,0,288000,96.0
73,291900,1.564710,1.539505,-26.137638,25.6543,25.6539,5.4775,5.4615,1.9539,0.1397,857.36,749.5,2,1,292000,97.6
74,295900,1.572010,1.560616,-26.533085,26.0509,26.0507,5.5887,5.6990,1.9712,0.1438,907.22,789.0,2,2,296000,99.3
75,299900,,,,,,,,,,1097.74,963.0,1,1,300000,99.5
76,303900,1.623993,1.607466,-26.893944,26.4285,26.4286,5.6540,5.6778,2.1279,0.1455,952.96,1001.0,26,13,304000,101.1
77,307900,1.688889,1.667070,-27.294668,26.8570,26.8568,5.9806,5.8752,2.1583,0.1484,885.91,916.5,11,4,308000,102.7
78,311900,1.755304,1.737772,-27.728575,27.2739,27.2739,5.8832,5.8714,2.0449,0.1508,1079.35,1001.0,3,2,312000,104.5
79,315900,1.848504,1.827394,-28.164687,27.7018,27.7015,5.9512,6.0479,2.0463,0.1535,755.26,786.0,4,3,316000,106.2
80,319900,,,,,,,,,,1066.63,1001.0,9,4,320000,106.4
81,323900,1.876747,1.838062,-28.569271,28.1086,28.1085,6.1163,6.0989,2.1227,0.1566,849.12,863.9,7,2,324000,108.2
82,327900,1.965871,1.947505,-28.987836,28.5296,28.5295,6.2116,6.3199,1.8940,0.1561,960.26,947.8,9,4,328000,109.9
83,331900,2.038238,2.017738,-29.415791,28.9492,28.9489,6.4510,6.4856,2.0598,0.1608,1070.37,1001.0,6,3,332000,111.5
84,335900,2.008148,1.976523,-29.848205,29.3695,29.3696,6.3541,6.2520,2.1248,0.1652,,,0,0,336000,113.2
85,339900,,,,,,,,,,915.17,1001.0,4,1,340000,113.4
86,343900,2.153324,2.137291,-30.275855,29.7993,29.7992,6.5884,6.6463,2.1124,0.1670,815.99,591.0,2,0,344000,115.1
87,347900,2.131021,2.128804,-30.696143,30.2478,30.2479,6.6160,6.7840,2.0831,0.1701,733.71,654.6,7,5,348000,116.7
88,351900,2.262588,2.254373,-31.126405,30.6835,30.6829,6.7841,7.0254,2.0004,0.1770,1044.78,747.0,2,1,352000,118.4
89,355900,2.271199,2.265949,-31.518802,31.0659,31.0660,6.8598,6.9454,2.1097,0.1786,508.78,627.0,2,1,356000,120.0
90,359900,,,,,,,,,,842.80,791.3,3,1,360000,120.2
91,363900,2.400570,2.379778,-31.945103,31.4804,31.4808,7.3478,7.3837,2.0729,0.1810,1022.30,696.5,2,0,364000,121.9
92,367900,2.313184,2.296994,-32.316675,31.8958,31.8954,6.9521,7.1680,2.0446,0.1853,1017.92,851.0,1,1,368000,123.5
93,371900,2.403681,2.409128,-32.786823,32.3198,32.3198,7.1095,7.3731,2.0494,0.1897,794.48,660.0,5,1,372000,125.1
94,375900,2.491204,2.476165,-33.148678,32.6906,32.6903,7.3891,7.5465,2.1962,0.1914,1224.93,967.0,3,1,376000,126.8
95,379900,,,,,,,,,,717.54,532.4,7,3,380000,127.0
96,383900,2.567912,2.561093,-33.557987,33.0710,33.0711,7.5071,7.7983,2.1165,0.1907,557.76,680.3,3,2,384000,128.6
97,387900,2.616575,2.597203,-33.923215,33.4445,33.4439,7.7517,7.9278,2.4899,0.1985,988.55,1001.0,1,0,388000,130.3
98,391900,2.702719,2.683640,-34.285104,33.8108,33.8113,7.9603,8.0503,2.2164,0.2001,654.24,620.8,4,2,392000,131.9
99,395900,2.698172,2.671729,-34.591885,34.1182,34.1183,7.8404,8.0050,2.0954,0.2005,990.74,808.0,4,1,396000,133.5
100,399900,,,,,,,,,,546.09,346.5,2,1,400000,133.8
101,403900,2.773647,2.767365,-34.933171,34.4743,34.4745,8.1283,8.3086,2.0840,0.2043,1085.24,1001.0,18,12,404000,135.4
102,407900,2.808626,2.805092,-35.307500,34.8205,34.8202,7.9985,8.2560,2.1594,0.2067,1047.04,968.1,9,6,408000,137.1
