epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
78,311900,22122.187223,-4434.642632,4432.0310,36000.7791,1.1802,0.1212,,,0,0,312000,156.2,0.289221,0.251444,0.018889
79,315900,22900.711485,-4494.591788,4491.9631,30140.6406,1.3270,0.1284,,,0,0,316000,158.6,0.199346,0.173307,0.013020
80,319900,,,,,,,,,0,0,320000,159.2,,,
81,323900,24920.115851,-4546.374069,4543.7185,30684.6977,1.3766,0.1390,,,0,0,324000,161.7,0.123046,0.107282,0.007882
82,327900,22258.304817,-4598.071681,4595.4354,33995.0377,1.5462,0.1413,,,0,0,328000,164.1,0.053982,0.047452,0.003265
83,331900,23018.942612,-4646.086812,4643.5461,29308.0354,1.6818,0.1323,,,0,0,332000,166.6,0.045241,0.040485,0.002378
84,335900,22883.894103,-4692.084507,4689.5330,26961.5204,1.9001,0.1476,,,0,0,336000,169.1,0.033007,0.029422,0.001793
85,339900,,,,,,,,,0,0,340000,169.7,,,
86,343900,23862.348821,-4743.596094,4740.8086,29553.9195,1.8741,0.1569,,,0,0,344000,172.3,0.031790,0.028484,0.001653
87,347900,22660.915544,-4787.684527,4784.8511,29776.5478,2.3730,0.1481,,,0,0,348000,174.7,0.021767,0.019425,0.001171
88,351900,23521.081860,-4833.462431,4830.7314,31693.1096,2.5125,0.1548,,,0,0,352000,177.2,0.015819,0.014224,0.000797
89,355900,23053.394953,-4881.882427,4879.1474,33269.8965,2.4111,0.1676,,,0,0,356000,179.9,0.003975,0.003493,0.000241
90,359900,,,,,,,,,0,0,360000,180.5,,,
91,363900,24887.047104,-4922.472483,4919.6678,32130.8365,2.6058,0.1706,,,0,0,364000,183.3,0.011148,0.010204,0.000472
92,367900,24538.415286,-4959.418793,4956.5092,35756.6127,2.5396,0.1764,,,0,0,368000,186.0,0.017445,0.015954,0.000746
93,371900,23991.490769,-4998.760380,4995.9433,34443.9531,2.3967,0.1691,,,0,0,372000,188.8,0.000190,0.000185,0.000003
94,375900,22835.620780,-5037.335769,5034.4791,31052.5368,2.4056,0.1706,,,0,0,376000,191.4,0.000166,0.000161,0.000002
95,379900,,,,,,,,,0,0,380000,192.1,,,
96,383900,23212.176807,-5076.963935,5074.2561,34326.2969,2.2892,0.1734,,,0,0,384000,194.7,0.000151,0.000146,0.000003
97,387900,23151.026529,-5106.187171,5103.5229,34959.6377,2.3174,0.1625,,,0,0,388000,197.1,0.000131,0.000127,0.000002
98,391900,23691.996714,-5146.212976,5143.4458,33041.7627,2.4227,0.1717,,,0,0,392000,199.5,0.000123,0.000119,0.000002
99,395900,23663.587140,-5178.633625,5175.9148,36497.8707,2.6354,0.1790,,,0,0,396000,201.9,0.000111,0.000107,0.000002
100,399900,,,,,,,,,0,0,400000,202.6,,,
1,3900,,,,,,,,,,,,0,0,4000,0.4,,,
2,7900,,,,,,,,,,,,0,0,8000,0.9,,,
3,11900,381.675873,349.431155,-25.518689,24.4610,25.2772,1407.9556,1095.7459,0.0761,0.0087,,,0,0,12000,1.6,,,
