epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
154,615900,9.452290,9.520173,-59.224378,58.0726,58.0725,102.8071,90.0200,1.4103,,,0,616000,168.0
155,619900,,,,,,,,,,,0,620000,168.2
156,623900,9.574270,9.679690,-60.498566,59.2668,59.2660,105.7295,92.9321,1.4813,,,0,624000,169.6
157,627900,10.019162,10.111549,-61.775815,60.5338,60.5334,108.1753,94.8701,1.4911,,,0,628000,171.0
158,631900,10.432002,10.565912,-62.956411,61.7288,61.7288,108.3365,95.6104,1.4888,,,0,632000,172.3
159,635900,10.209550,10.319003,-63.988540,62.8258,62.8256,111.4624,96.8088,1.5247,,,0,636000,173.6
160,639900,,,,,,,,,,,0,640000,173.7
161,643900,10.270218,10.386656,-65.116499,63.8938,63.8936,113.0189,99.8386,1.5329,,,0,644000,175.0
162,647900,10.869419,10.981020,-66.239258,65.1418,65.1416,116.6825,102.2827,1.5440,,,0,648000,176.3
163,651900,11.464519,11.570967,-67.274793,66.0712,66.0714,123.1630,106.7897,1.4605,,,0,652000,177.6
164,655900,11.425658,11.526411,-68.246828,67.0906,67.0902,117.9926,104.1111,1.6313,,,0,656000,178.9
165,659900,,,,,,,,,,,0,660000,179.1
166,663900,11.310325,11.450549,-69.360678,68.0876,68.0883,120.6334,106.7631,1.6447,,,0,664000,180.5
167,667900,11.662418,11.786965,-70.197705,68.9833,68.9821,131.8046,117.0327,1.5898,,,0,668000,181.8
168,671900,12.052760,12.199213,-71.349989,70.1362,70.1366,126.3810,110.6603,1.6709,,,0,672000,183.1
169,675900,11.869621,12.014160,-72.291417,71.1118,71.1120,123.9633,108.9899,1.6608,,,0,676000,184.4
170,679900,,,,,,,,,,,0,680000,184.6
171,683900,12.152743,12.284109,-73.286409,71.9635,71.9627,133.5861,118.9225,1.7151,,,0,684000,185.9
172,687900,11.810275,11.954365,-74.278317,72.9787,72.9791,125.9951,111.2243,1.6674,,,0,688000,187.2
173,691900,12.273789,12.439799,-75.129702,73.8347,73.8346,130.6699,113.7398,1.6863,,,0,692000,188.6
174,695900,12.262006,12.423117,-76.029841,74.7083,74.7087,136.1332,119.3434,1.6985,,,0,696000,190.0
175,699900,,,,,,,,,,,0,700000,190.1
176,703900,12.183494,12.354136,-76.938513,75.5750,75.5742,138.6523,120.9414,1.7680,2870.36,1001.0,100,704000,191.5
177,707900,16.006726,16.157996,-77.907063,76.7007,76.7013,163.4565,141.0599,1.8931,,,0,708000,192.8
178,711900,15.558909,15.728196,-79.340716,77.9405,77.9400,161.9465,143.3120,1.8557,,,0,712000,194.3
179,715900,15.644555,15.852835,-80.694195,79.4210,79.4212,160.9417,143.7632,1.8249,,,0,716000,195.6
180,719900,,,,,,,,,,,0,720000,195.7
181,723900,16.415432,16.616004,-82.071336,80.5903,80.5902,167.1064,145.6869,1.9234,,,0,724000,197.0
182,727900,16.212512,16.432557,-83.235721,82.0046,82.0048,165.4651,146.4597,1.8092,,,0,728000,198.3
183,731900,15.800456,16.048832,-84.591937,83.0797,83.0803,156.3867,138.9163,1.8447,,,0,732000,199.7
184,735900,17.783255,18.094012,-86.064083,84.5877,84.5870,183.4521,165.6799,1.9706,,,0,736000,201.1
185,739900,,,,,,,,,,,0,740000,201.2
186,743900,17.836103,18.093816,-87.203810,85.6502,85.6509,182.2736,158.4131,1.9323,,,0,744000,202.6
187,747900,17.460262,17.739556,-88.492116,87.1199,87.1200,178.7903,157.6732,2.0365,,,0,748000,203.9
188,751900,18.167980,18.435571,-89.955328,88.3610,88.3610,197.0079,172.4590,2.0508,,,0,752000,205.3
189,755900,18.670503,18.963952,-91.050486,89.5986,89.5984,194.0099,172.5547,1.9735,,,0,756000,206.7
190,759900,,,,,,,,,,,0,760000,206.8
191,763900,18.453491,18.761052,-92.383510,90.8471,90.8475,181.0230,158.2957,1.9850,,,0,764000,208.1
192,767900,18.904085,19.257357,-93.424366,92.1320,92.1318,193.7414,168.6357,1.9796,,,0,768000,209.4
193,771900,18.373591,18.680370,-94.766428,93.2357,93.2363,186.8550,164.4091,2.1344,,,0,772000,210.7
194,775900,19.249630,19.600447,-95.551897,94.1550,94.1554,209.2888,184.9029,2.0935,,,0,776000,212.0
195,779900,,,,,,,,,,,0,780000,212.2
196,783900,19.401158,19.716989,-97.125476,95.4960,95.4954,205.2189,178.7667,2.2377,,,0,784000,213.5
197,787900,19.214011,19.590879,-98.021459,96.5146,96.5150,205.3277,180.8933,2.1939,,,0,788000,214.9
198,791900,19.222825,19.571539,-99.058809,97.5291,97.5289,211.1051,189.0368,2.0243,,,0,792000,216.2
199,795900,20.310659,20.668438,-99.972787,98.4162,98.4161,219.7597,191.2033,2.2365,,,0,796000,217.6
200,799900,,,,,,,,,,,0,800000,217.7
201,803900,19.198022,19.576080,-101.033029,99.4622,99.4627,206.9650,182.5446,2.2088,3508.38,1001.0,100,804000,219.0
202,807900,25.574907,26.017934,-102.394763,100.8223,100.8216,243.7287,213.0560,2.2101,,,0,808000,220.3
203,811900,24.182065,24.611021,-103.748746,102.1187,102.1201,242.6061,212.9055,2.2728,,,0,812000,221.7
204,815900,25.025765,25.477020,-104.929882,103.5385,103.5388,251.6127,226.4533,2.2496,,,0,816000,223.0
205,819900,,,,,,,,,,,0,820000,223.1
206,823900,24.755332,25.295525,-105.937287,104.6518,104.6516,245.9009,218.0309,2.2697,,,0,824000,224.4
207,827900,23.796897,24.265656,-107.721830,106.0939,106.0938,247.6659,221.1055,2.1367,,,0,828000,225.7
208,831900,25.629642,26.144670,-108.899285,107.3584,107.3583,268.3332,236.6194,2.3240,,,0,832000,227.0
209,835900,26.280955,26.887430,-110.091042,108.5347,108.5339,284.0186,250.0681,2.4143,,,0,836000,228.3
210,839900,,,,,,,,,,,0,840000,228.5
211,843900,26.549618,27.154780,-111.358317,109.7593,109.7598,260.2535,231.6047,2.3034,,,0,844000,229.8
212,847900,26.701894,27.280843,-112.901849,111.2331,111.2327,284.2113,253.1837,2.3784,,,0,848000,231.1
213,851900,27.971713,28.540308,-113.675824,112.3030,112.3026,272.4190,248.5197,2.4943,,,0,852000,232.4
214,855900,27.765062,28.348766,-114.987321,113.4649,113.4653,280.7071,248.1772,2.4583,,,0,856000,233.7
215,859900,,,,,,,,,,,0,860000,233.9
216,863900,27.976824,28.574306,-116.042738,114.6692,114.6693,268.0217,237.7306,2.4328,,,0,864000,235.4
217,867900,27.530209,28.207130,-117.397801,115.7176,115.7175,279.8026,249.3802,2.4668,,,0,868000,236.7
218,871900,29.009060,29.714523,-118.711405,117.1213,117.1220,293.8328,257.2576,2.5219,,,0,872000,238.0
